name,playtime_forever
XCOM 2,6861
Rocket League,5558
Call of Duty - Infinite Warfare,1499
Awesomenauts,225
The Mean Greens - Plastic Warfare,287
Scribblenauts Unlimited,437
Castle Crashers,197
The Deer,80
ShipLord,80
DiRT 3 Complete Edition,80
Tropico 4,80
Supraball,80
Terrorhedron,121
Takedown - Red Sabre,104
ARK - Survival Evolved,613
Counter-Strike - Global Offensive,231
Call of Duty - Black Ops III,5818
Call of Duty - Black Ops II - Zombies,9345
Call of Duty - Black Ops II - Multiplayer,785
XCOM - Enemy Unknown,6575
Call of Duty - Black Ops - Multiplayer,742
Call of Duty - Black Ops,4445
Call of Duty - World at War,10821
